no,stage,x,y,z,tbxta,sox2,wnt8a,depdc7a
1,18ss,131.711,124.961,87.727,7.89026,31,4.0998,5.00045
1,18ss,137.376,136.597,88.1206,13.0463,44,8.43305,6.60466
1,18ss,129.912,130.232,87.654,7.4737,30,3.92895,5.09937
1,18ss,121.048,136.251,88.7805,15.0702,56,7.5465,7.51031
1,18ss,128.421,120.033,90.8145,12.6,32,10.7468,5.32901
1,18ss,133.273,132.286,89.4665,19.0981,61,9.02338,9.25834
1,18ss,121.909,142.123,89.0269,9.90899,78,7.14842,7.47565
1,18ss,160.393,123.282,85.7526,16.1435,35,10.4646,7.19126
1,18ss,162.373,131.015,83.803,4.19037,29,2.90722,3.91597
1,18ss,153.601,119.25,86.1287,14.1563,38,6.54035,8.41954
1,18ss,145.288,121.007,87.2189,9.70013,30,5.70391,6.03025
1,18ss,153.327,130.308,86.7109,8.15879,29,7.54796,5.99508
1,18ss,146.524,132.162,87.6212,15.5205,32,16.5885,6.79565
1,18ss,165.393,123.183,88.2427,12.9915,24,6.62217,6.36595
1,18ss,144.463,139.589,88.4387,2.49651,25,2.71486,3.15753
1,18ss,159.148,124.173,89.9047,14.8097,32,11.3682,6.04983
1,18ss,153.627,125.003,88.6167,14.363,32,9.93472,8.35351
1,18ss,169.255,128.276,84.9632,2.41758,21,1.85714,2.91868
1,18ss,175.553,122.57,87.5738,2.26061,21,1.83333,2.77273
1,18ss,87.8742,144.083,83.6907,1.76824,62,3.7281,2.71792
1,18ss,82.3418,148.101,84.5553,2.33638,40,2.94159,2.80989
1,18ss,93.3637,154.178,84.411,3.04907,58,3.32062,3.11796
1,18ss,85.8508,166.05,84.3128,3.87784,73,4.54275,4.1298
1,18ss,92.7281,164.759,86.3587,1.68047,80,2.0027,2.93879
1,18ss,79.7453,152.564,87.3655,1.79246,65,2.43185,3.25398
1,18ss,86.8615,157.112,87.6206,2.1798,65,2.76364,2.82802
1,18ss,79.5723,145.174,88.315,2.09297,64,3.20808,2.81554
1,18ss,77.1096,161.75,87.6923,1.45062,58,3.67306,2.98106
1,18ss,87.7684,163.696,88.5965,3.22766,138,3.09757,4.71663
1,18ss,82.8441,161.45,88.6977,1.72715,76,2.17905,2.8569
1,18ss,91.3636,147.77,89.2653,1.99938,77,3.02788,2.78198
1,18ss,118.977,145.349,84.0374,8.04072,72,8.00217,7.65282
1,18ss,98.2095,150.072,84.7889,3.05463,76,5.61635,2.95689
1,18ss,114.414,155.464,86.1234,2.07635,37,2.63748,3.1807
1,18ss,97.7971,161.514,84.9938,4.65282,165,3.58598,6.04641
1,18ss,103.004,143.831,85.7393,4.03776,54,4.19368,3.22053
1,18ss,106.691,147.076,84.779,3.00041,81,5.57628,3.03944
1,18ss,101.587,166.245,85.1893,0.736842,21,2.25,2.31579
1,18ss,109.411,152.249,85.2602,5.30007,86,6.28499,3.71921
1,18ss,115.842,146.641,85.9997,7.22074,85,8.57677,6.21983
1,18ss,98.9685,145.04,86.7176,2.70857,57,8.4138,3.82716
1,18ss,106.828,162.288,87.3364,1.61719,21,1.84014,2.62079
1,18ss,128.202,151.254,85.2543,2.20173,30,2.19827,3.03672
1,18ss,121.725,153.071,85.742,2.11762,27,2.15469,2.86725
1,18ss,133.498,144.536,87.2433,2.58824,15,2.64706,2.94118
1,18ss,86.619,170.19,88.3093,0.813665,20,1.76398,2.7764
1,18ss,92.2114,49.263,91.8801,1.05615,25,1.57035,2.61325
1,18ss,87.5678,68.0675,93.0287,12.5469,26,6.97615,4.31661
1,18ss,87.2032,60.4991,92.3849,2.04078,28,1.99084,2.866
1,18ss,91.5497,62.1176,93.4853,2.40758,18,2.2891,3.49289
1,18ss,77.805,61.9666,92.231,2.35344,24,2.68324,3.31731
1,18ss,80.3082,69.8389,93.2752,6.0254,36,4.50918,4.11768
1,18ss,79.9116,56.6476,94.5422,0.64486,18,1.35514,1.83178
1,18ss,97.9385,66.5188,90.1612,10.6181,33,7.03819,4.67951
1,18ss,113.94,57.3569,91.3937,1.29275,22,1.78335,2.53894
1,18ss,103.209,69.0418,90.8517,8.68938,32,9.62222,4.40616
1,18ss,116.126,66.9911,91.5798,3.72,26,3.67591,3.71358
1,18ss,108.999,69.1579,92.5796,6.43499,25,5.52413,3.9628
1,18ss,96.5082,58.8028,93.48,1.68519,18,2.02315,2.82176
1,18ss,100.722,63.5181,93.5749,3.33202,22,2.52964,3.86957
1,18ss,126.174,55.9222,89.5749,1.08117,23,1.67118,2.58533
1,18ss,126.436,59.1985,90.6336,1.47782,22,1.81115,2.54499
1,18ss,124.84,66.5608,91.0427,3.39197,29,2.98139,3.69468
1,18ss,88.5086,89.6207,90.342,10.5131,78,3.62507,4.40304
1,18ss,84.3199,92.4447,90.0785,11.6873,47,3.19311,4.0117
1,18ss,84.3768,83.9225,90.867,7.40079,55,3.57216,4.35788
1,18ss,87.1148,56.7898,87.7975,2.12224,21,2.12614,3
1,18ss,93.3852,54.0634,88.9517,1.33986,28,1.8285,2.63968
1,18ss,89.2745,49.8559,89.6252,1.10601,35,1.58871,2.60984
1,18ss,99.3596,48.6434,83.8978,1.04416,30,1.92468,2.60779
1,18ss,99.2494,69.8035,86.0144,16.1698,42,10.7635,7.47888
1,18ss,112.575,69.2727,87.1489,6.72342,34,6.03667,4.1152
1,18ss,112.552,64.0095,87.2581,5.38827,40,4.08028,3.41052
1,18ss,98.123,58.1127,87.4374,1.98687,33,2.37575,2.85517
1,18ss,103.367,64.6816,85.3364,10.6067,60,14.3444,4.40281
1,18ss,109.472,48.3006,88.2707,0.548193,16,1.40361,3.34337
1,18ss,122.897,64.9566,85.8621,4.7981,32,3.14048,4.18348
1,18ss,119.694,66.1315,87.6435,4.07853,31,3.37844,4.67459
1,18ss,142.824,53.5553,87.7424,1.09369,30,1.67357,2.9497
1,18ss,136.111,64.8831,87.639,9.8458,33,7.56493,4.25441
1,18ss,132.279,53.2964,88.0007,1.08059,35,1.54983,2.99263
1,18ss,130.047,69.2025,88.4611,8.5662,29,5.82797,4.47025
1,18ss,135.99,56.787,89.7497,0.945946,18,1.52703,2.44865
1,18ss,142.548,57.0044,89.4509,0.980149,24,1.77419,2.73201
1,18ss,133.328,55.976,89.8771,1.3624,18,1.79264,2.5969
1,18ss,167.619,62.7637,83.9389,1.40258,34,2.07574,3.16728
1,18ss,155.068,54.2606,84.7831,1.01453,30,1.5924,3.4687
1,18ss,149.257,67.2509,85.0329,12.4739,38,10.2084,6.52547
1,18ss,157.484,60.7358,85.1359,1.49844,28,1.95752,3.09936
1,18ss,150.024,56.3245,81.5528,1.20988,35,1.87888,2.78692
1,18ss,163.784,65.3826,88.2685,1.28571,15,2.38095,3.2381
1,18ss,143.614,66.7818,88.627,7.9061,27,4.11892,6.07057
1,18ss,175.306,67.0679,86.7662,1.17537,26,1.93159,3.47077
1,18ss,170.474,66.3902,86.2441,1.58057,29,2.06114,3.4218
1,18ss,92.3174,85.6539,84.0544,22.6752,111,7.64234,3.85674
1,18ss,83.3694,70.4513,84.8522,11.1004,111,9.38907,5.53914
1,18ss,80.3954,79.2963,85.5887,13.024,109,7.85016,3.84858
1,18ss,90.5874,82.9849,86.1429,14.6607,77,19.1356,4.06252
1,18ss,81.5894,75.4624,86.7921,17.0997,136,9.96936,4.55268
1,18ss,88.3103,75.6884,86.8967,17.5668,56,9.63259,5.68705
1,18ss,91.5052,73.4855,87.2729,16.4314,68,12.5153,5.74235
1,18ss,96.4924,75.7415,84.0029,6.59512,61,6.8878,3.43902
1,18ss,111.198,85.1598,83.5694,18.1274,33,12.8506,6.6076
1,18ss,117.116,76.1666,85.0187,5.58308,31,6.40224,4.33371
1,18ss,102.345,76.6683,85.566,15.1682,38,15.5738,6.4579
1,18ss,115.974,85.406,87.2966,19.5755,56,16.9907,5.79335
1,18ss,104.849,72.0438,87.3539,9.46354,28,9.38874,5.77979
1,18ss,110.746,77.2628,88.7621,11.9307,30,15.2578,4.73966
1,18ss,98.6152,93.2742,89.6312,17.8514,51,3.75534,3.66483
1,18ss,95.8184,75.6168,87.2309,10.4081,58,9.06009,4.60064
1,18ss,140.598,79.9774,84.1239,10.0742,31,7.38126,6.55348
1,18ss,136.955,88.2222,84.4982,27.5722,46,11.7665,9.41835
1,18ss,122.255,81.3172,86.0175,9.49008,36,16.3937,6.21303
1,18ss,129.688,86.474,85.6401,26.9695,78,14.2121,8.5227
1,18ss,134.205,77.1816,84.9992,9.27121,32,5.3071,5.15159
1,18ss,140.689,89.6677,86.1731,12.1451,35,6.48559,6.48124
1,18ss,128.781,94.3229,87.1515,30.4775,243,18.2775,8.80301
1,18ss,134.678,71.9262,85.8188,6.65798,29,3.86704,4.39019
1,18ss,119.19,88.4432,89.3694,19.949,72,13.4546,4.61213
1,18ss,134.861,94.069,88.4691,18.6496,46,11.3659,7.9694
1,18ss,129.352,74.696,88.6575,7.35111,32,3.80161,4.18627
1,18ss,151.42,79.4543,83.4831,13.8665,32,7.74188,9.27256
1,18ss,146.075,88.566,84.2757,10.5382,39,10.3565,7.70389
1,18ss,146.541,78.3726,85.0548,6.79549,37,4.85156,5.8295
1,18ss,152.186,83.3012,84.5729,12.9705,50,8.98444,6.18011
1,18ss,163.209,74.3974,85.8503,14.3039,62,5.50586,9.10843
1,18ss,156.162,92.5976,85.0224,8.972,36,5.31408,6.099
1,18ss,166.986,84.6453,85.7724,14.924,48,15.7359,5.80596
1,18ss,152.695,74.5599,86.268,16.7483,57,11.9838,7.89066
1,18ss,154.101,87.9673,86.884,11.1895,45,5.13519,5.86183
1,18ss,160.354,80.4468,88.3003,10.9891,43,8.51513,8.73387
1,18ss,161.562,86.7873,85.4964,22.8045,41,6.85869,8.98302
1,18ss,167.084,90.7939,88.2321,12.4785,39,4.83524,6.07402
1,18ss,154.455,71.2534,88.5081,8.82127,33,5.25802,5.55727
1,18ss,163.137,92.8938,88.816,13.9858,29,7.53065,8.23326
1,18ss,144.26,82.3304,87.663,10.7644,32,9.19965,7.78542
1,18ss,144.169,72.6026,89.3159,11.5885,31,4.58209,5.56428
1,18ss,154.305,80.7012,89.5608,10.8248,34,6.5635,5.29927
1,18ss,149.748,84.1978,89.0068,8.30203,30,5.02124,5.06937
1,18ss,147.307,89.9216,89.5828,11.4224,31,10.505,6.22507
1,18ss,154.488,93.5754,89.3098,8.69497,28,6.24956,7.35301
1,18ss,176.967,81.0486,85.3888,3.61303,26,2.24369,3.75497
1,18ss,169.741,86.5221,85.8935,11.7014,30,20.2666,7.03463
1,18ss,180.415,91.248,86.1825,2.24317,27,1.99145,2.90061
1,18ss,173.003,72.3421,87.2689,2.03865,22,1.88285,3.26691
1,18ss,175.006,85.6354,88.084,2.78351,23,5.68041,3.65979
1,18ss,85.4108,97.777,89.7562,18.582,35,3.42574,3.46472
1,18ss,78.7706,97.2853,89.6704,8.64192,36,2.87433,3.09831
1,18ss,84.1454,102.695,90.1049,15.4494,32,3.13471,3.80961
1,18ss,116.04,96.5884,83.2448,36.8525,84,9.48726,4.24286
1,18ss,99.0558,113.174,82.442,34.419,36,3.96715,3.38106
1,18ss,100.48,109.649,83.0531,36.1063,31,4.24539,3.55194
1,18ss,116.272,100.957,88.1294,25.733,86,11.585,3.87807
1,18ss,142.465,116.038,84.4699,23.2668,36,7.63894,9.96009
1,18ss,139.019,110.814,84.3839,21.0308,62,12.7066,7.93505
1,18ss,133.575,110.643,85.122,21.0631,73,9.09543,8.11974
1,18ss,126.139,102.203,85.8483,19.2238,36,10.3981,8.8
1,18ss,125.859,107.804,85.4355,24.4263,103,19.088,6.05912
1,18ss,121.892,112.04,84.8065,24.6837,98,10.0093,5.49082
1,18ss,129.517,118.585,85.7789,13.9793,40,13.8852,5.98333
1,18ss,122.56,100.319,87.322,20.033,72,12.1393,5.69844
1,18ss,132.08,103.015,88.2654,15.3188,38,8.08158,8.997
1,18ss,144.313,96.9623,88.345,11.0293,35,7.48652,6.80689
1,18ss,137.88,100.99,87.6668,11.9245,37,8.03136,6.87782
1,18ss,129.841,108.569,88.3547,14.2165,56,6.67528,5.84386
1,18ss,140.757,106.785,88.8637,10.9505,39,11.9654,6.69482
1,18ss,152.506,96.0814,83.8706,15.3858,31,8.30423,9.95079
1,18ss,159.617,100.872,84.5554,11.4766,31,3.9774,6.2643
1,18ss,153.689,107.745,84.6812,7.09867,28,6.0706,4.80656
1,18ss,156.429,113.325,86.1235,16.5438,31,8.03834,7.26613
1,18ss,151.507,103.131,87.7075,14.6774,39,9.43917,6.14601
1,18ss,147.961,116.837,86.7499,12.6961,31,6.23053,6.51835
1,18ss,168.418,98.4283,87.5136,17.4225,46,5.63059,7.84451
1,18ss,168.294,106.91,86.0864,9.32784,48,8.79291,9.02347
