no,stage,x,y,z,tbxta,sox2,sp5l,cdh6
1,18ss,162.057,99.3352,57.8573,12.3212,27,2.80166,2.64869
1,18ss,172.002,101.47,58.2994,9.24514,33,3.08675,2.26095
1,18ss,168.895,109.767,59.4417,12.1301,28,5.07147,4.36842
1,18ss,162.466,97.3238,61.7277,17.221,20,2.5221,2.97678
1,18ss,167.771,103.854,62.5481,6.79562,28,2.78417,2.0674
1,18ss,175.596,102.49,53.8906,11.475,46,3.27887,3.93717
1,18ss,179.913,97.7188,55.1386,8.62913,26,2.33443,2.34296
1,18ss,182.023,105.704,56.1178,4.86924,26,1.60915,2.24362
1,18ss,186.23,107.555,53.3287,3.72357,25,1.50011,2.12531
1,18ss,186.653,99.2852,55.2239,3.94628,24,1.48431,1.66676
1,18ss,91.63,113.06,61.4919,3.61322,22,1.76902,1.69293
1,18ss,92.1475,118.05,64.0197,3.63657,20,1.98781,1.63102
1,18ss,99.3427,116.024,53.3456,17.9849,28,2.19121,3.48787
1,18ss,100.131,122.861,61.3587,5.08324,25,1.3882,1.55431
1,18ss,114.853,120.988,52.6588,14.9355,28,3.44381,3.008
1,18ss,115.428,117.306,52.6177,17.8539,28,3.89181,3.35467
1,18ss,107.884,112.939,62.9813,3.64286,27,1.36857,1.64381
1,18ss,132.48,114.486,53.247,19.8306,24,4.45239,3.74776
1,18ss,119.521,125.744,53.5068,19.085,31,3.81197,3.71149
1,18ss,128.556,121.311,53.4017,21.9953,24,3.91618,4.15435
1,18ss,133.078,111.116,59.8402,7.95511,23,2.81616,1.67978
1,18ss,128.19,114.973,62.8662,5.90503,20,1.9402,1.6064
1,18ss,134.84,119.119,51.5176,21.8676,28,5.02703,4.20576
1,18ss,145.217,121.872,53.1808,10.074,38,7.10313,3.82415
1,18ss,137.243,121.254,54.324,20.081,30,4.21979,3.89781
1,18ss,142.547,114.891,56.6683,8.39835,28,3.10658,2.47476
1,18ss,140.447,117.06,59.7446,8.17922,22,2.89805,2.26121
1,18ss,134.567,116.579,62.2057,5.41498,25,1.99344,1.6058
1,18ss,156.742,115.472,52.2151,8.85239,30,3.24573,2.80431
1,18ss,153.002,119.291,52.8616,7.8635,31,3.07905,3.47834
1,18ss,150.009,111.162,53.4774,10.0539,32,2.55333,2.68826
1,18ss,155.471,124.166,54.6042,10.1365,80,7.60236,5.84481
1,18ss,155.491,113.951,57.4103,6.97276,30,3.00659,2.29897
1,18ss,148.373,122.968,60.2946,5.33265,26,3.33128,1.93018
1,18ss,158.232,120.628,61.3322,10.3132,26,4.6902,3.05242
1,18ss,147.84,112.414,62.3265,5.15097,21,2.0901,1.70194
1,18ss,152.099,119.672,63.8088,4.93095,27,2.40252,2.04434
1,18ss,158.169,116.289,65.9893,5.90312,22,2.247,1.77736
1,18ss,160.621,121.561,51.482,16.1967,63,6.53157,6.48875
1,18ss,163.162,116.507,52.359,17.0044,54,6.58398,5.75207
1,18ss,163.987,123.046,54.076,12.835,72,6.60477,8.396
1,18ss,172.503,120.064,55.2495,12.7491,59,4.48921,7.07319
1,18ss,162.44,111.64,57.4029,13.5577,69,3.94707,3.8412
1,18ss,165.455,117.536,61.0776,11.4093,72,5.53965,3.48096
1,18ss,163.73,111.803,63.9277,6.55633,25,3.12924,2.00515
1,18ss,163.213,123.312,65.5541,8.51653,24,5.13391,3.43828
1,18ss,173.619,114.108,54.0726,12.4492,53,4.48605,5.3075
1,18ss,182.358,116.064,55.8579,3.64811,25,1.40815,2.12277
1,18ss,177.374,116.215,58.9908,4.97023,29,2.26165,2.92323
1,18ss,179.291,124.355,59.6203,3.16358,32,1.27249,1.33922
1,18ss,186.222,117.912,52.9024,2.61422,25,1.15355,1.47965
1,18ss,188.495,122.474,55.0333,2,31,0.90147,1.07849
1,18ss,93.387,134.914,57.4713,4.4598,31,1.51808,2.02261
1,18ss,91.0866,124.776,62.3471,3.70727,26,1.46535,1.65495
1,18ss,103.854,128.035,51.9391,18.8857,26,2.11715,3.74303
1,18ss,100.542,136.31,52.1602,13.192,31,1.99682,3.6609
1,18ss,96.2546,130.048,60.5678,3.9692,32,1.55616,1.66366
1,18ss,102.919,130.968,62.1075,3.98569,23,1.61662,1.74179
1,18ss,101.705,138.403,65.0982,2.68727,26,1.52961,1.83457
1,18ss,110.503,131.864,51.2359,26.7673,30,2.67475,4.88472
1,18ss,119.454,136.939,52.1865,17.6336,31,3.79411,3.81085
1,18ss,116.153,133.196,54.6115,12.0252,28,2.67135,2.98088
1,18ss,110.737,133.577,61.5988,5.89338,20,1.73291,1.83528
1,18ss,111.856,137.551,64.6411,3.07944,26,1.47275,1.59765
1,18ss,127.918,129.164,51.4172,23.7796,39,5.16022,4.52831
1,18ss,131.651,132.278,52.6376,22.0702,28,4.82417,4.3675
1,18ss,122.883,134.296,54.1503,19.318,26,4.28312,3.95164
1,18ss,133.114,136.207,58.9758,6.44604,32,7.04305,4.45376
1,18ss,122.895,130.647,62.4606,6.76954,28,2.22305,2.08842
1,18ss,131.081,131.32,63.1885,5.06102,19,2.26325,1.71893
1,18ss,126.011,134.463,65.8379,4.43635,24,2.20585,1.78359
1,18ss,141.788,125.083,51.0408,22.8398,53,6.30302,6.79917
1,18ss,140.254,131.196,51.8096,12.0314,51,5.34801,4.81793
1,18ss,144.168,129.171,53.0234,7.6104,54,6.46913,3.49153
1,18ss,135.278,130.262,54.5984,21.2068,39,5.66183,4.35107
1,18ss,143.122,133.112,56.2477,6.92655,39,6.43711,3.24367
1,18ss,146.84,130.111,57.3907,6.7767,33,4.93823,3.63299
1,18ss,135.268,124.749,60.1485,7.49491,25,2.93646,2.11976
1,18ss,137.8,128.967,64.4829,4.60242,27,2.83883,1.98831
1,18ss,142.107,132.813,68.4437,3.87114,26,2.50036,1.91101
1,18ss,156.99,132.058,53.1091,8.7973,53,8.57756,8.97204
1,18ss,148.476,137.87,53.4241,4.25865,33,6.70095,4.51613
1,18ss,151.598,126.73,55.0769,9.53266,64,7.73573,5.17674
1,18ss,148.311,134.581,58.4485,4.70044,56,6.24463,4.94128
1,18ss,158.302,126.777,59.2455,9.20173,30,6.68134,4.17983
1,18ss,150.826,129.731,60.4879,5.50677,32,5.72369,3.72623
1,18ss,158.651,132.687,61.7537,8.85565,24,5.48176,8.45984
1,18ss,169.28,136.137,53.1924,14.9413,107,4.14734,6.33418
1,18ss,162.527,134.91,55.4372,13.9541,78,7.15031,6.90082
1,18ss,164.764,129.522,56.3625,15.8506,38,8.37983,5.21435
1,18ss,167.549,128.849,59.8722,16.2269,28,6.73948,5.47134
1,18ss,169.146,125.733,60.2751,14.1363,34,5.65354,7.12326
1,18ss,182.262,129.344,52.4764,2.19671,29,1.17904,1.47816
1,18ss,172.89,129.824,52.4716,11.3397,67,3.6821,6.94462
1,18ss,174.275,124.687,53.0916,16.5839,49,3.88314,7.67386
1,18ss,181.542,127.356,56.1238,2.41497,26,1.26121,1.5399
1,18ss,99.7786,143.28,35.8504,6.14367,138,4.87662,10.0018
1,18ss,99.049,150.94,41.7122,4.31515,141,3.05478,8.84198
1,18ss,104.374,143.914,39.3976,7.69399,129,5.69059,7.70161
1,18ss,98.1121,144.48,43.6315,5.29902,82,2.90258,10.3901
1,18ss,104.872,148.296,45.6751,5.11539,149,5.55516,11.4759
1,18ss,94.6609,146.441,51.2632,3.63924,94,2.00414,6.25638
1,18ss,110.964,144.865,36.3403,8.81631,210,4.4384,7.54711
1,18ss,117.993,145.263,38.4944,10.1089,212,5.73142,9.25406
1,18ss,112.019,142.607,42.0545,20.3944,55,4.64039,5.59009
1,18ss,116.856,143.564,46.2437,22.3459,92,4.93256,5.755
1,18ss,110.561,147.721,48.5902,6.37855,116,5.16093,12.2733
1,18ss,127.675,147.317,34.167,6.17405,118,8.15367,5.8514
1,18ss,131.23,151.36,35.9511,5.89824,123,9.26097,5.19887
1,18ss,124.756,144.501,37.1477,8.38975,97,5.41485,6.31775
1,18ss,133.342,146.529,37.4577,7.10494,142,10.7498,4.29428
1,18ss,122.159,144.325,43.3712,13.2154,69,5.51785,5.93091
1,18ss,131.574,142.151,44.0659,15.0687,115,6.05867,5.68487
1,18ss,127.022,143.722,46.383,9.97286,149,4.85148,6.90134
1,18ss,120.929,149.809,47.6323,5.28546,70,3.58898,7.07239
1,18ss,130.036,147.881,48.1992,4.17813,95,4.67809,3.97716
1,18ss,121.617,140.134,48.253,23.3618,36,5.12456,5.16791
1,18ss,124.096,152.271,49.3355,4.01497,82,5.55641,4.72402
