no,stage,x,y,z,tbxta,sox2,hes6,cdh6
1,18ss,154.948,111.649,-19.2022,11.0964,40,25.3881,2.66445
1,18ss,163.311,108.773,-19.7692,11.9764,54,30.5229,3.47283
1,18ss,157.804,100.636,-17.8958,10.1364,94,35.5414,3.00281
1,18ss,92.4179,143.113,-20.6384,6.59846,96,7.83025,11.0477
1,18ss,94.7562,146.13,-18.1911,7.2129,201,7.82185,8.72513
1,18ss,90.9317,124.025,-19.0308,9.15582,63,19.1578,2.96678
1,18ss,100.728,135.278,-20.1718,5.87395,129,7.61455,10.128
1,18ss,119.528,123.586,-22.0978,9.04659,72,31.6029,2.7099
1,18ss,106.059,143.17,-21.3729,6.37853,154,5.95496,9.02114
1,18ss,110.674,147.48,-18.5065,7.72163,221,8.1106,22.6346
1,18ss,100.422,124.424,-19.0374,9.50542,112,22.4571,3.09733
1,18ss,116.762,133.41,-16.1679,5.30524,91,8.01126,2.80435
1,18ss,124.758,132.046,-20.8072,5.37411,46,7.42375,2.90489
1,18ss,130.317,142.9,-21.6212,7.25312,182,7.44866,6.65169
1,18ss,138.63,132.126,-18.9957,5.20538,38,3.2998,2.3117
1,18ss,128.094,140.367,-19.2276,6.87794,176,4.29868,5.21417
1,18ss,153.407,123.767,-19.5438,5.38025,34,3.53647,2.00864
1,18ss,88.5588,161.447,-18.0024,8.21975,254,8.04062,28.8723
1,18ss,94.9847,157.271,-18.2931,9.16422,205,7.78274,18.5735
1,18ss,92.2955,153.847,-17.146,8.45014,186,6.86916,16.9244
1,18ss,103.992,155.974,-19.2623,9.77095,254,8.56024,21.1562
1,18ss,100.52,159.415,-20.0149,9.60387,247,6.69787,31.272
1,18ss,114.321,149.378,-18.3174,8.05521,253,7.00952,18.6607
1,18ss,115.331,157.658,-17.5329,9.99473,255,6.1086,47.1899
1,18ss,117.525,153.409,-19.253,10.0313,254,6.66053,28.1801
1,18ss,107.718,164.501,-17.3169,8.76677,173,3.58433,6.73997
1,18ss,104.128,150.429,-22.9701,8.38201,254,6.36652,17.1496
1,18ss,106.963,151.383,-16.7833,8.54012,252,5.80905,27.1023
1,18ss,122.864,163.842,-17.7026,6.78561,53,3.20627,3.03862
1,18ss,133.769,152.563,-17.4092,7.08637,51,3.44562,3.45265
1,18ss,94.1527,175.225,-20.5417,6.55502,42,3.00278,2.44712
1,18ss,143.01,89.0209,-16.6547,12.3101,55,25.0717,3.48096
1,18ss,155.177,78.2094,-17.2156,23.0264,169,40.0814,5.87145
1,18ss,150.562,82.7595,-14.8547,15.9654,56,58.9462,4.67895
1,18ss,152.369,94.8136,-15.7249,13.6515,143,36.3078,3.32681
1,18ss,156.902,86.6129,-15.0299,14.4605,64,28.34,3.5899
1,18ss,153.126,89.5118,-14.6121,13.6156,52,30.6261,4.56786
1,18ss,166.634,95.1525,-14.4867,16.7603,202,36.01,3.95373
1,18ss,165.649,86.5183,-12.8276,12.5723,73,20.5151,3.46095
1,18ss,176.67,85.2314,-15.4024,8.76783,52,4.96795,2.73057
1,18ss,107.726,122.213,-18.9788,10.1868,56,26.3295,2.5203
1,18ss,118.036,116.793,-15.3449,10.3261,44,38.7457,2.58779
1,18ss,128.833,101.964,-16.5408,13.9694,46,41.2404,3.57188
1,18ss,127.963,107.393,-17.8094,12.959,57,32.214,3.14111
1,18ss,130.997,119.138,-16.6688,10.875,41,23.9188,2.62598
1,18ss,140.03,103.054,-15.443,13.7083,59,48.9894,3.22224
1,18ss,134.733,103.017,-15.2884,12.4461,44,56.2497,3.26872
1,18ss,132.424,110.947,-14.9579,11.8173,45,29.9035,2.88283
1,18ss,134.974,117.895,-15.3368,11.3901,46,20.0134,2.73674
1,18ss,124.875,118.231,-15.3892,12.3096,60,31.7269,2.6389
1,18ss,85.2175,98.7599,-28.5779,18.687,97,28.3182,4.74746
1,18ss,123.012,102.946,-31.3147,35.8594,50,36.1934,7.2018
1,18ss,109.715,115.21,-28.7815,28.6474,43,25.3155,5.66211
1,18ss,119.915,99.4482,-28.4548,26.561,68,40.8338,5.6537
1,18ss,115.624,106.456,-26.6799,26.1721,47,32.1526,5.41196
1,18ss,106.866,117.062,-26.0459,15.4052,62,23.9392,3.20882
1,18ss,131.888,117.921,-30.5735,12.2334,80,29.8538,3.2638
1,18ss,139.539,120.653,-30.4734,14.8416,42,29.424,3.73917
1,18ss,133.351,101.5,-28.4292,15.2042,46,36.5056,3.59834
1,18ss,124.852,121.679,-30.4146,13.0009,74,27.0654,3.23585
1,18ss,145.472,121.082,-29.0793,9.2224,51,29.4345,4.03264
1,18ss,140.594,103.396,-29.2553,14.247,41,42.9536,3.4077
1,18ss,121.123,110.057,-28.3121,26.757,41,29.6065,5.4499
1,18ss,129.167,112.374,-28.5435,20.0635,84,29.05,4.22174
1,18ss,146.91,101.754,-27.6927,18.0677,52,33.2109,3.86075
1,18ss,131.335,121.886,-27.2305,10.8123,135,24.5004,2.74487
1,18ss,133.663,106.698,-27.0067,13.1281,40,36.02,3.10763
1,18ss,141.653,108.763,-27.1589,12.1966,53,40.1576,2.95591
1,18ss,123.357,106.314,-26.5839,16.4584,49,32.9954,4.02359
1,18ss,127.916,102.017,-25.6004,11.85,49,30.2524,3.49225
1,18ss,136.756,115.359,-25.2953,12.5166,41,34.1998,2.74902
1,18ss,156.257,101.655,-29.7608,15.0202,109,49.5143,3.54151
1,18ss,150.62,108.041,-30.935,13.872,83,36.1252,4.02077
1,18ss,156.141,116.798,-28.6952,13.9573,54,29.8118,3.87488
1,18ss,157.291,110.311,-26.9885,13.4902,46,36.0388,5.64176
1,18ss,166.944,108.662,-27.5522,11.217,95,31.3518,3.1826
1,18ss,175.62,99.0475,-29.1792,15.7498,74,33.9951,4.78638
1,18ss,175.235,114.754,-26.4561,5.52075,51,2.8426,2.00038
1,18ss,87.442,136.77,-27.6738,6.2253,83,4.57548,8.1927
1,18ss,85.0489,129.361,-30.17,6.8867,173,6.73087,10.045
1,18ss,116.667,132.763,-31.9196,6.63086,68,9.06366,6.07433
1,18ss,96.1451,138.394,-27.442,6.39736,138,5.72815,9.39429
1,18ss,121.138,135.894,-29.8069,6.38385,68,8.12894,5.60328
1,18ss,115.919,137.632,-28.9394,6.21231,102,7.75628,7.4516
1,18ss,103.197,133.438,-26.9706,6.0244,99,7.74052,7.37126
1,18ss,98.26,129.25,-28.1993,9.11025,183,13.1553,9.72418
1,18ss,109.478,136.024,-24.8107,7.06203,51,8.45906,3.71216
1,18ss,103.257,146.149,-26.9778,6.60086,144,6.11515,12.3863
1,18ss,135.014,146.93,-30.5983,9.9293,254,10.9195,22.7115
1,18ss,144.219,147.395,-30.9766,17.9617,236,18.0629,33.7227
1,18ss,134.952,134.737,-30.9546,5.71546,117,8.79803,12.3353
1,18ss,132.514,139.338,-29.9252,7.03479,125,7.64557,13.6722
1,18ss,129.807,144.393,-30.0705,7.49306,101,10.2016,15.6788
1,18ss,124.558,140.02,-29.6866,6.62269,126,6.51355,8.06564
1,18ss,138.98,137.519,-26.8321,5.42143,130,6.65012,7.22509
1,18ss,149.825,129.204,-29.3761,8.05316,69,11.1107,5.21223
1,18ss,166.175,123.609,-28.9125,5.84522,40,3.31282,2.19435
1,18ss,148.787,143.303,-27.0001,11.7959,176,12.0647,12.9773
1,18ss,90.1106,165.31,-28.1302,9.08968,249,7.78487,25.9802
1,18ss,95.4367,168.561,-26.7199,7.96215,218,11.5892,22.8029
1,18ss,87.2586,153.957,-24.9743,8.08562,251,7.12351,15.7365
1,18ss,109.99,147.468,-28.1023,6.89832,200,6.72622,12.5902
1,18ss,105.184,153.213,-29.8172,6.55119,79,5.60329,11.9017
1,18ss,119.103,161.108,-27.8423,26.9438,254,21.068,36.7665
1,18ss,112.153,152.827,-29.3956,7.61849,218,7.6728,17.9812
1,18ss,98.8866,152.305,-27.7194,7.76683,169,7.47771,12.6977
1,18ss,111.419,172.425,-28.1897,5.58,41,2.43933,2.61174
1,18ss,113.355,161.546,-26.7519,12.0953,230,8.76038,38.2129
1,18ss,96.6963,160.012,-26.2548,8.26448,224,8.10651,17.6085
1,18ss,101.948,164.641,-27.9106,9.93836,255,7.25495,21.3601
1,18ss,107.518,152.292,-29.0998,7.25772,184,8.7137,10.8446
1,18ss,107.035,165.792,-26.0869,12.3014,250,7.34662,39.4058
1,18ss,135.326,156.788,-30.9663,20.9461,253,20.1544,44.5411
1,18ss,140.437,161.907,-30.8012,5.55564,53,2.43359,2.38997
1,18ss,130.119,172.852,-29.8878,6.39606,47,2.45188,2.2675
1,18ss,126.429,155.674,-28.8693,14.5216,255,17.1821,31.8722
1,18ss,131.852,151.728,-27.5089,23.0483,255,14.5061,41.9905
1,18ss,137.751,155.714,-26.1959,8.78829,161,6.31469,10.1577
1,18ss,151.48,150.613,-28.633,9.10099,162,5.26377,5.73495
1,18ss,153.339,155.542,-27.8622,6.81514,40,2.47065,2.40845
1,18ss,120.993,61.6162,-26.2956,14.8185,188,26.5706,5.07164
1,18ss,106.478,71.9835,-26.051,13.4764,75,44.543,4.16925
1,18ss,116.011,68.0928,-25.3571,14.0047,82,26.0181,3.47853
1,18ss,111.204,68.7708,-24.3854,15.1722,44,37.6548,3.70602
1,18ss,127.841,65.9375,-25.7719,7.38713,40,16.0234,2.02324
1,18ss,127.798,51.756,-23.8164,8.29573,44,17.3409,3.30142
1,18ss,128.544,62.8363,-23.7206,8.6192,41,15.2095,2.21199
1,18ss,136.957,60.8184,-23.2343,8.64208,41,12.9469,2.4727
1,18ss,142.696,55.6986,-22.6711,9.34647,52,6.41709,2.92763
1,18ss,165.183,72.5019,-20.8964,9.20717,110,4.35669,2.53073
1,18ss,87.121,92.6519,-26.1431,12.5,171,30.8874,6.74416
1,18ss,94.8227,86.1523,-24.3617,10.426,46,31.6023,3.17957
1,18ss,94.0183,91.3824,-24.4687,12.8697,105,35.1504,3.45805
1,18ss,119.996,92.7729,-25.6503,15.5886,87,41.5099,3.54027
1,18ss,99.4825,95.0247,-25.4832,16.4272,102,38.656,4.11923
1,18ss,105.914,93.8862,-24.6701,18.5422,53,32.5354,4.51252
1,18ss,97.0178,90.496,-24.1393,13.034,46,41.046,2.98962
1,18ss,115.73,74.0159,-23.0942,13.67,45,34.3555,3.24932
1,18ss,108.709,78.297,-22.7251,11.3487,50,36.6121,3.32265
1,18ss,102.202,98.5613,-25.7025,21.8889,45,34.8847,5.74081
1,18ss,107.017,86.1152,-22.2226,12.0271,50,34.648,3.27053
1,18ss,103.172,90.3484,-21.4969,12.0282,47,43.9505,4.61959
1,18ss,115.178,85.9116,-22.2437,12.9976,53,41.4371,3.09276
1,18ss,131.77,78.7042,-25.7848,15.556,58,64.6316,3.80489
1,18ss,139.672,77.9262,-26.1742,14.9277,45,55.7402,4.69598
1,18ss,139.672,93.5947,-25.6944,14.1099,38,42.2183,3.16838
1,18ss,132.075,85.0142,-25.2574,17.3317,58,46.3469,4.1722
1,18ss,130.709,93.3251,-24.4341,15.0284,48,41.1518,3.35854
1,18ss,143.705,73.7564,-23.2259,16.1052,58,37.4847,3.98113
1,18ss,125.405,92.0542,-22.4622,14.9779,46,47.2321,3.61045
1,18ss,145.353,93.5498,-20.9712,12.5455,51,40.7049,3.60475
1,18ss,166.109,81.0702,-23.7504,22.1212,171,49.3682,5.49281
1,18ss,158.596,96.8892,-23.7629,18.2147,67,45.4325,6.0768
1,18ss,169.648,85.4557,-23.0406,21.5547,113,50.1912,5.35889
1,18ss,148.366,80.4984,-22.7736,14.2508,49,39.2983,3.76372
1,18ss,164.272,91.921,-22.7946,26.7294,184,36.5919,5.48978
1,18ss,159.534,78.5744,-21.9852,18.472,191,38.6865,5.58082
1,18ss,157.777,88.1536,-22.693,19.4042,115,44.8383,5.27729
1,18ss,152.147,90.0889,-21.9694,21.5327,89,38.7526,5.58579
1,18ss,172.23,91.8136,-22.5345,16.5575,70,37.0333,3.9625
1,18ss,174.105,81.5608,-22.2508,11.5312,117,11.3634,3.30397
1,18ss,86.3508,112.956,-24.8041,16.332,50,31.4785,3.69172
1,18ss,94.7705,105.946,-24.2404,18.404,45,31.3148,4.01673
1,18ss,92.4393,121.428,-23.4913,9.23313,130,19.6975,3.86684
1,18ss,86.7514,109.158,-25.3039,19.8603,43,31.9145,4.94947
1,18ss,93.3667,110.678,-23.2304,15.8677,40,33.5279,3.43492
1,18ss,95.0552,117.555,-25.7435,18.2314,78,22.1902,4.18133
1,18ss,89.9885,116.762,-22.6127,11.9572,50,29.3219,3.35654
1,18ss,90.515,101.118,-25.1548,18.174,52,33.0803,3.94675
1,18ss,95.439,99.7307,-23.2696,15.7006,49,38.7428,3.19821
1,18ss,99.5393,116.935,-25.5972,18.8821,57,25.2562,4.13833
1,18ss,101.94,109.58,-25.2993,22.4991,66,29.8994,4.80864
1,18ss,103.575,118.107,-24.1805,12.5741,113,27.6437,2.87159
1,18ss,110.13,100.447,-24.4338,22.2026,47,36.8097,4.77921
1,18ss,116.204,116.621,-25.9729,18.0945,53,33.3486,3.99478
1,18ss,105.383,105.846,-22.3318,16.1843,51,31.1369,3.60864
1,18ss,119.13,108.188,-22.1501,17.1855,41,33.3462,3.79518
1,18ss,111.229,118.307,-22.9503,12.0885,54,29.4634,2.79882
1,18ss,102.57,102.211,-22.8894,14.6579,41,39.4389,3.48517
1,18ss,141.35,122.156,-24.6767,8.9994,52,28.3103,2.51691
1,18ss,123.516,111.921,-26.6743,22.8703,70,30.8206,4.80438
1,18ss,145.392,115.314,-23.254,9.08495,43,33.563,2.36815
1,18ss,126.111,119.578,-24.0529,12.339,48,30.0717,2.83021
1,18ss,138.266,102.232,-22.2409,12.6588,53,47.8946,3.19588
1,18ss,149.038,105.639,-25.0096,12.1394,46,36.2437,2.9334
1,18ss,162.457,117.898,-25.5208,7.28478,41,11.6217,2.54536
1,18ss,169.819,111.212,-32.8641,14.9574,93,21.5387,5.6302
1,18ss,164.426,103.729,-31.3985,13.179,42,35.7428,3.7494
1,18ss,170.239,117.303,-32.389,7.79896,58,8.5735,3.64998
1,18ss,163.51,109.868,-30.8969,15.1485,43,30.9999,4.68396
1,18ss,185.076,111.796,-34.4566,5.44287,34,2.22683,1.97415
1,18ss,179.127,106.068,-33.331,9.76577,49,9.27337,4.00202
1,18ss,174.697,104.647,-32.0869,23.4139,138,29.2866,7.5296
1,18ss,96.5882,126.555,-35.9776,12.4944,250,6.74322,17.8789
1,18ss,85.5551,126.06,-35.3965,8.52158,252,5.88344,25.8766
1,18ss,88.9148,134.044,-33.7832,6.40886,153,5.30951,9.86025
1,18ss,91.254,141.025,-28.3581,6.50895,120,5.47692,9.37708
1,18ss,89.9883,129.563,-31.0339,6.95371,120,7.32886,8.99104
1,18ss,111.659,139.667,-31.6713,5.81852,121,6.80996,7.21237
1,18ss,108.013,130.923,-33.7415,7.13112,132,7.08578,7.36659
1,18ss,103.156,127.569,-34.2383,11.0792,251,6.9903,17.2269
1,18ss,119.04,143.759,-33.6868,6.05251,144,7.83602,8.2287
1,18ss,112.958,134.383,-34.1832,6.5624,103,7.42695,6.19729
1,18ss,100.85,137.788,-33.5394,5.66854,96,5.34787,7.71891
1,18ss,106.483,135.057,-29.8372,5.83225,103,6.95585,6.27706
1,18ss,101.019,134.026,-32.0941,6.54766,126,7.88675,7.3106
1,18ss,107.037,142.996,-32.3466,5.97186,118,5.93286,6.79554
1,18ss,104.415,129.365,-30.6133,8.07254,102,8.24186,6.30535
1,18ss,98.9406,143.806,-31.7691,5.97251,251,6.43506,8.95962
1,18ss,127.684,125.911,-34.5694,10.4919,87,22.9067,3.92191
1,18ss,123.709,127.741,-35.0457,8.11742,76,17.0683,6.63587
1,18ss,146.405,125.626,-34.298,10.9437,76,18.8234,7.31252
1,18ss,129.835,140.125,-34.3918,6.91085,116,8.46809,10.6624
1,18ss,133.198,131.106,-35.7299,6.19413,86,12.096,9.00207
1,18ss,123.251,133.73,-34.6067,5.81983,74,9.30355,5.54637
1,18ss,127.24,132.596,-32.0246,6.33069,48,9.91853,8.46338
1,18ss,143.517,136.841,-32.8284,7.92814,236,12.8169,12.0891
1,18ss,158.029,123.47,-35.322,30.2519,205,24.7769,14.2319
1,18ss,155.15,134.686,-34.3032,12.1602,191,19.0745,15.5835
1,18ss,162.568,142.94,-35.7182,7.53272,122,4.47869,5.03063
1,18ss,149.981,123.89,-34.791,11.8487,118,27.8539,8.6609
1,18ss,160.318,131.667,-33.6701,9.4055,92,8.85632,6.44873
1,18ss,152.456,143.605,-32.4797,17.8766,254,20.5397,22.7291
1,18ss,149.189,139.426,-32.7251,18.6642,247,14.6,31.9173
1,18ss,93.2265,154.728,-35.5223,6.36715,208,7.54234,12.4616
1,18ss,95.7771,148.257,-34.0508,5.20199,137,7.32144,7.10045
1,18ss,89.492,158.992,-33.1734,7.19205,192,8.14311,22.0078
1,18ss,86.6329,169.638,-31.6193,9.13448,255,4.87427,36.5077
1,18ss,116.418,166.477,-35.0184,21.0908,255,17.0251,42.3368
1,18ss,109.644,167.48,-32.7413,13.6793,250,10.4931,30.459
1,18ss,100.305,169.804,-32.6644,7.90359,150,6.30422,12.9861
1,18ss,115.907,150.897,-35.1693,6.78386,130,6.94669,10.219
1,18ss,111.613,158.771,-31.9332,8.63983,181,10.3,17.9715
1,18ss,103.077,160.097,-31.208,8.28899,242,6.56413,17.9783
1,18ss,119.894,154.744,-30.1801,8.45125,253,9.60476,23.5788
1,18ss,138.425,151.75,-34.5838,17.5897,255,21.9262,29.8516
1,18ss,126.308,149.226,-32.18,8.50728,174,10.2717,18.142
1,18ss,127.22,169.455,-31.7343,5.89116,57,2.55253,3.1679
1,18ss,125.149,161.771,-30.9728,20.9139,255,18.0729,32.0982
1,18ss,151.317,158.111,-33.7343,6.08988,42,2.50375,2.36094
1,18ss,148.657,159.017,-32.2752,6.39557,38,2.362,2.5992
1,18ss,91.609,177.101,-31.7573,5.52617,41,2.83015,2.73401
1,18ss,115.888,175.229,-32.8359,5.21141,42,2.22511,3.05437
1,18ss,101.838,180.436,-32.0116,6.00527,37,2.37959,1.95834
1,18ss,102.823,40.0035,-31.0069,7.70085,83,3.07964,2.44152
1,18ss,107.506,44.3324,-28.606,7.85254,98,4.27934,2.83771
1,18ss,115.699,44.6773,-28.5565,8.76382,51,6.46332,2.30667
