no,stage,x,y,z,tbxta,sox2,thbs2,id3
1,18ss,157.128,71.3395,-0.302143,1.90269,5.60398,2.73409,3.30521
1,18ss,154.447,79.3417,-0.492986,2.41094,6.34662,2.70711,5.67155
1,18ss,159.722,84.7095,0.622681,2.88375,7.27057,3.43766,8.05949
1,18ss,149.123,94.2642,1.33839,3.36785,8.53177,3.43727,3.67468
1,18ss,166.855,74.4784,1.41239,4.63288,6.90335,4.20798,5.45887
1,18ss,150.639,87.9367,0.310672,3.73377,7.7247,2.88463,2.68571
1,18ss,162.334,90.6685,2.23362,3.44685,8.18178,4.29906,4.23908
1,18ss,146.419,75.6563,2.68231,2.27023,6.5059,2.82718,3.03166
1,18ss,161.342,78.4718,3.56088,2.63049,7.47754,3.3148,4.01147
1,18ss,169.888,85.4056,4.73705,2.62516,8.23211,3.22612,3.52502
1,18ss,183.928,80.9521,-2.00176,1.44847,7.96462,2.5263,1.18983
1,18ss,176.397,81.2157,-1.18974,3.4323,6.92342,3.0966,6.15195
1,18ss,186.126,88.7792,-0.947372,1.1266,7.80942,2.87738,0.901766
1,18ss,174.028,88.3617,0.0951993,3.83353,7.65457,3.51826,7.16577
1,18ss,179.169,85.8307,2.78591,3.49294,10.8047,3.07662,2.713
1,18ss,179.385,89.4944,1.94119,2.699,10.4922,2.93885,2.02618
1,18ss,172.586,77.5608,3.62379,4.0417,7.51702,4.83817,3.9043
1,18ss,171.663,72.0692,4.08556,2.46324,6.98269,5.87549,3.80617
1,18ss,118.392,111.42,-1.19701,3.29722,9.75461,3.5394,2.03092
1,18ss,113.191,98.9221,-1.53873,2.72556,9.0628,3.39592,1.89163
1,18ss,113.866,113.247,-0.0506119,2.6301,9.88146,3.9107,1.83518
1,18ss,97.2083,95.7262,-0.258277,2.13791,8.65936,3.65675,1.63114
1,18ss,100.28,101.145,0.66796,2.46258,9.6322,3.57439,1.69212
1,18ss,107.027,104.888,1.21854,2.40842,10.1117,3.97781,1.51546
1,18ss,95.5659,108.193,0.250556,2.53345,10.5135,4.06084,1.48556
1,18ss,102.6,113.132,0.68263,2.58885,10.9494,4.11856,2.92938
1,18ss,97.9911,113.728,-1.60128,2.5994,9.80001,3.96577,1.84941
