no,stage,x,y,z,tbxta,sox2,znf703,cdh6
1,18ss,120.913,110.645,-14.2481,3.825,10,6.275,0.55
1,18ss,122.892,117.494,-14.4107,2.76787,17,4.60278,0.650854
1,18ss,119.998,119.649,-11.3908,2.20123,20,4.76813,0.671093
1,18ss,128.902,108.276,-6.43782,1.99466,18,2.91993,0.450178
1,18ss,136.819,118.517,-17.294,3.48308,25,4.42227,1.36145
1,18ss,131.681,110.817,-15.8548,3.57331,17,3.97372,0.784273
1,18ss,140.052,115.032,-13.6232,3.77042,23,6.55188,1.04047
1,18ss,141.102,110.086,-12.9753,3.59535,21,3.94308,0.750868
1,18ss,135.215,119.566,-11.8345,1.89046,14,2.39458,0.665489
1,18ss,135.002,111.599,-10.1027,5.49897,11,6.5134,0.913402
1,18ss,131.625,115.593,-7.25468,2.6658,15,5.28052,0.593074
1,18ss,148.607,119.433,-16.839,3.66314,18,3.97415,1.0822
1,18ss,153.69,116.143,-16.1503,5.97418,18,4.72283,1.35122
1,18ss,143.524,117.975,-15.3283,3.32174,14,3.34783,1.26957
1,18ss,153.819,107.917,-14.0874,3.57861,20,4.36727,0.784364
1,18ss,148.439,107.98,-12.3953,5.16827,12,3.8726,0.997596
1,18ss,151.243,113.111,-12.0553,3.7167,16,4.95694,0.71831
1,18ss,165.883,114.638,-15.1827,9.27128,51,4.26277,2.04468
1,18ss,166.661,112.948,-12.2388,7.11696,19,8.53801,1.22807
1,18ss,174.297,107.434,-13.6108,5.45714,20,3.08571,1.17714
1,18ss,178.804,115.772,-12.7483,3.65,8,2.8,0.9
1,18ss,83.6484,128.234,-16.0512,0.741956,34,1.92575,2.49142
1,18ss,134.335,62.1505,-17.5259,3.2,9,4.76,0.4
1,18ss,86.9706,70.4962,-16.3613,2.07955,24,2.23276,1.02939
1,18ss,92.8031,79.9946,-17.2159,3.06812,17,3.27751,0.905218
1,18ss,99.2007,76.6075,-10.3537,1.42857,11,2.18182,0.558442
1,18ss,134.619,71.1382,-17.0962,6.1969,18,5.50221,1.07153
1,18ss,152.175,78.4539,-14.048,3.77823,16,3.75887,0.781452
1,18ss,173.596,72.297,-15.6978,4.53731,9,6,1.16418
1,18ss,85.8019,84.1097,-15.8405,3.17391,11,2.86957,0.478261
1,18ss,88.7821,91.4013,-12.8162,4.5,8,1.75,1
1,18ss,101.716,86.3437,-6.96083,2.15267,11,2.61069,0.351145
1,18ss,99.8217,90.9731,-5.66834,2.12169,17,2.22751,0.439153
1,18ss,112.655,90.3148,-12.0825,2.88926,12,2.80201,0.543624
1,18ss,150.572,91.1531,-15.4328,4.40513,17,3.23278,0.806363
1,18ss,153.544,89.5327,-10.0732,3.29197,15,3.03741,0.642336
1,18ss,166.381,88.2044,-13.7907,5.29768,16,2.97569,1.0913
1,18ss,157.644,92.2118,-6.82165,4.86275,11,2.46078,0.877451
1,18ss,84.1689,150.296,-34.0162,1.67741,107,5.34747,1.94808
1,18ss,85.5589,156.938,-27.7043,2.40471,190,5.49112,4.57606
1,18ss,92.5481,154.16,-37.0258,2.61737,159,4.85149,4.01896
1,18ss,97.4957,152.856,-32.9353,3.10351,121,7.71412,4.16134
1,18ss,95.309,158.345,-27.9764,5.63593,99,5.85793,7.7073
1,18ss,99.9731,150.986,-24.3486,2.16598,92,4.63839,3.87581
1,18ss,89.2855,149.07,-22.4953,1.32356,150,3.85038,3.94752
1,18ss,89.4467,157.797,-22.7216,4.93167,240,6.23365,7.51765
1,18ss,94.273,145.264,-18.3401,1.27915,120,2.56101,6.79402
1,18ss,108.547,156.163,-33.9884,3.48474,189,6.8854,6.90787
1,18ss,102.85,158.176,-34.7607,6.00504,238,8.01266,6.63126
1,18ss,106.744,145.966,-34.8939,1.47168,90,5.7292,2.06808
1,18ss,110.216,151.305,-35.0279,2.40098,118,6.07516,4.18543
1,18ss,102.727,147.023,-27.8091,1.59945,90,5.83515,3.50389
1,18ss,115.443,150.436,-27.1592,3.21409,115,8.81683,3.3087
1,18ss,112.73,147.108,-21.5309,1.81238,61,4.49033,3.1207
1,18ss,106.459,147.776,-20.4342,1.67037,63,4.53379,2.89102
1,18ss,116.567,152.077,-34.864,4.17935,185,10.1599,4.83637
1,18ss,128.902,154.921,-34.0207,13.5939,128,8.8224,11.6999
1,18ss,122.403,152.277,-34.8229,4.40373,125,8.44473,10.0522
1,18ss,120.824,155.496,-32.5253,5.87108,210,7.91645,11.9527
1,18ss,121.815,148.051,-29.4207,3.33417,131,8.91722,2.82611
1,18ss,124.498,156.84,-26.159,8.25582,117,4.95611,7.05292
1,18ss,120.065,157.943,-25.5002,8.88728,250,7.41259,7.07952
1,18ss,125.074,147.341,-21.9225,2.12191,74,5.00385,2.12518
1,18ss,117.446,155.341,-20.4199,5.64095,84,4.43411,3.12937
1,18ss,115.937,152.375,-19.1151,4.14954,72,5.133,4.01929
1,18ss,135.312,155.242,-35.1129,9.89113,120,7.38195,6.65903
1,18ss,140.329,150.271,-34.6875,10.0821,202,11.5121,12.064
1,18ss,133.497,154.086,-32.5757,8.60191,86,5.74818,5.13345
1,18ss,137.485,146.122,-28.9261,5.88493,201,6.52869,6.41819
1,18ss,135.191,157.692,-27.9612,2.4032,32,3.37046,1.29492
1,18ss,128.873,151.973,-25.8551,5.02787,241,8.55215,7.61531
1,18ss,140.036,149.542,-25.3622,2.52172,42,3.47761,1.79004
1,18ss,136.653,151.475,-25.2985,2.76604,40,3.79941,1.55929
1,18ss,132.05,157.575,-20.5559,1.18165,25,1.88532,0.894495
1,18ss,152.096,150.786,-34.0675,1.93151,30,3.56849,0.961837
1,18ss,143.874,153.929,-31.5074,2.31905,33,2.97484,1.36204
1,18ss,150.55,145.588,-29.315,6.33455,45,5.57862,2.12451
1,18ss,144.987,149.054,-24.6052,2.11196,25,2.38804,1.06442
1,18ss,156.454,150.562,-36.1756,1.42282,30,2.21535,0.872173
1,18ss,159.271,146.539,-28.0726,1.28948,28,2.0616,0.759053
1,18ss,84.8582,161.45,-33.5198,5.25167,149,6.11957,6.8539
1,18ss,85.8804,163.15,-26.4079,6.45955,115,4.95971,13.0267
1,18ss,86.2521,170.323,-23.2118,1.13525,32,3.3757,0.979316
1,18ss,89.24,163.729,-21.2476,6.05924,137,4.61129,10.3477
1,18ss,92.6698,163.399,-35.303,8.49695,137,5.89356,9.17543
1,18ss,98.2481,161.816,-33.0374,5.37435,254,6.0292,6.09671
1,18ss,98.4495,170.13,-31.2457,1.35421,36,3.15123,1.07187
1,18ss,90.2658,169.951,-30.5465,1.62933,64,3.60053,1.51485
1,18ss,93.1294,164.284,-27.0501,10.2459,136,6.29696,16.0682
1,18ss,96.8333,161.818,-27.3808,5.31579,92,3.82861,6.16636
1,18ss,94.2016,169.926,-23.4095,1.2231,31,3.94676,0.941455
1,18ss,102.293,169.709,-23.7948,0.987389,39,2.36369,0.870296
1,18ss,97.6763,167.138,-19.3406,1.40687,37,2.84387,1.23332
1,18ss,107.944,162.834,-35.5042,6.92775,232,7.39172,9.77396
1,18ss,114.871,159.582,-35.7455,6.56377,180,9.09377,10.3337
1,18ss,113.669,163.99,-33.3304,9.99857,251,8.84405,12.1101
1,18ss,103.218,160.895,-30.9227,6.1945,227,6.83846,9.35514
1,18ss,107.772,170.947,-30.6104,1.20225,35,2.88662,1.00079
1,18ss,108.997,159.969,-27.6091,4.98321,250,5.42384,8.92375
1,18ss,110.702,168.294,-23.5821,1.20826,45,2.35739,0.999459
1,18ss,104.508,159.517,-22.3546,5.74985,65,3.05309,4.32282
1,18ss,112.916,159.846,-19.7353,5.20249,153,3.73108,6.04755
1,18ss,117.311,161.943,-32.1027,6.48269,223,4.77249,7.4129
1,18ss,125.268,159.511,-32.1673,12.1471,167,5.91486,13.7321
1,18ss,117.602,168.556,-31.0658,1.25832,33,3.09514,0.969644
1,18ss,126.467,164.578,-28.5515,1.40154,30,2.25499,0.970926
1,18ss,118.959,165.405,-22.1276,1.30421,30,2.48625,1.13891
1,18ss,125.281,158.78,-20.0812,2.35309,65,3.67568,1.47791
1,18ss,135.502,164.193,-32.8656,1.08637,34,1.81973,0.946109
1,18ss,95.1575,174.056,-30.198,1.11647,120,2.47078,0.977998
1,18ss,109.988,171.567,-21.4666,0.992255,31,1.7066,0.823924
1,18ss,102.22,50.7475,-15.2955,0.968553,10,2.59119,0.327044
1,18ss,85.4194,67.4018,-12.8189,1.05947,17,1.12555,0.522026
1,18ss,91.3014,67.0106,-12.124,1.2,5,1.5,0.6
1,18ss,83.3614,114.196,-33.4464,4.47763,79,2.13828,4.87652
1,18ss,86.0417,109.915,-31.1194,13.6135,18,1.80488,3.1182
1,18ss,85.2435,114.614,-25.7934,2.76387,70,2.44677,5.48234
1,18ss,95.5252,114.2,-32.1486,11.8334,22,1.88736,2.43127
1,18ss,101.55,111.139,-31.7456,14.4638,19,1.782,2.54901
1,18ss,96.8723,107.96,-30.5142,14.0029,25,1.73484,2.40979
1,18ss,94.8536,116.608,-28.2231,5.79821,30,2.48914,4.03576
1,18ss,91.0928,117.606,-27.7094,3.87776,80,2.53647,4.02388
1,18ss,102.007,118.452,-28.1682,5.89014,53,3.10278,4.29523
1,18ss,96.8495,115.827,-19.5131,2.31337,20,3.07939,1.44429
1,18ss,102.27,116.157,-32.9696,11.6429,22,2.79503,2.42795
1,18ss,106.298,118.583,-31.7558,9.02156,65,2.48684,3.07054
1,18ss,115.668,111.854,-31.1755,12.8928,18,2.48166,2.4285
1,18ss,111.424,118.389,-31.0202,10.7958,54,3.12055,3.0431
1,18ss,104.772,115.273,-30.6371,13.3786,26,2.35268,2.58021
1,18ss,108.117,108.61,-27.9794,10.5759,18,1.71615,1.84448
1,18ss,114.34,116.933,-21.1365,3.85554,18,6.51624,3.0978
1,18ss,119.63,109.162,-33.2143,22.4377,22,2.97425,3.84076
1,18ss,121.722,117.483,-33.1315,12.1975,61,4.19077,4.79387
1,18ss,123.623,111.624,-32.6386,17.9443,24,3.94627,3.7099
1,18ss,128.391,116.026,-29.9459,6.867,69,6.57231,2.13545
1,18ss,126.237,112.252,-28.9263,13.6254,59,4.7354,3.85251
1,18ss,123.46,118.676,-25.4392,5.67656,21,8.21255,2.19455
1,18ss,132.558,112.081,-30.4741,7.63714,33,6.61228,2.2488
1,18ss,135.292,108.406,-30.5776,9.86737,37,7.91917,2.06324
1,18ss,132.209,115.705,-28.9474,5.11659,34,7.33172,1.45195
1,18ss,136.695,115.97,-27.6571,4.46374,36,5.94318,1.48841
1,18ss,142.03,118.453,-26.341,7.54262,23,7.16277,1.67593
1,18ss,137.917,111.538,-19.476,4.56236,21,4.59944,1.04418
1,18ss,132.26,109.891,-19.4739,4.52794,22,4.82937,1.00569
1,18ss,144.606,115.769,-31.1308,14.363,46,9.61462,3.78389
1,18ss,151.967,118.956,-31.0695,12.0164,35,9.19413,3.13596
1,18ss,155.18,119.836,-29.8291,15.0666,26,7.80163,4.10193
1,18ss,146.358,109.934,-29.5016,12.1073,23,6.37663,2.29238
1,18ss,151.16,115.017,-25.331,6.71587,28,5.74788,1.49201
1,18ss,148.966,107.548,-24.3891,8.43167,19,5.29786,1.54146
1,18ss,144.254,111.212,-23.2202,6.96664,25,6.09067,1.49612
1,18ss,155.214,119.157,-22.2369,9.82827,22,5.00781,2.2462
1,18ss,151.591,112.381,-19.2551,5.06072,19,4.23462,1.09871
1,18ss,168.487,117.305,-28.5866,11.7967,36,5.82853,2.9105
1,18ss,166.844,110.95,-28.4238,5.8829,24,3.52452,1.45084
1,18ss,158.054,115.514,-28.7028,9.86715,33,5.95358,2.09459
1,18ss,163.498,109.753,-29.5154,7.68745,23,4.93423,1.59902
1,18ss,163.709,114.986,-23.0884,9.08192,26,3.92021,2.00224
1,18ss,158.563,113.022,-20.7742,5.12054,21,2.82502,1.09859
1,18ss,180.38,118.264,-33.9978,10.856,70,7.84424,6.71717
1,18ss,172.634,107.885,-31.728,7.56475,24,5.58976,1.57069
1,18ss,173.695,114.031,-31.7523,7.34859,25,4.58027,1.74107
1,18ss,178.685,115.108,-29.7384,10.4676,43,5.7687,4.15625
1,18ss,181.595,109.76,-28.3588,8.71647,23,4.7753,2.14041
1,18ss,177.621,107.502,-24.7926,8.39791,28,3.23211,1.67016
1,18ss,178.822,116.028,-24.0636,6.75125,34,4.89788,4.6155
1,18ss,174.533,117.786,-20.0573,7.60267,24,6.59733,4.02133
1,18ss,171.117,111.978,-18.0815,9.91606,37,5.01881,3.16643
1,18ss,185.888,113.188,-34.3379,7.55968,56,5.31424,3.32227
1,18ss,190.155,110.947,-32.1996,3.99387,21,3.11656,1.33742
1,18ss,193.309,119.071,-31.5104,0.926782,18,1.32177,0.641618
1,18ss,85.835,129.814,-29.5035,1.02632,46,3.08138,0.77275
1,18ss,85.7344,119.544,-24.9036,1.59109,31,1.78664,2.17942
1,18ss,86.0406,122.187,-21.3718,0.974154,77,1.62806,2.17805
1,18ss,83.9069,128.337,-20.9321,0.765138,37,2.4425,2.50181
1,18ss,86.997,131.023,-21.1243,0.871127,48,3.83078,1.41709
1,18ss,89.0513,123.476,-18.4921,0.810393,25,1.90831,1.42877
1,18ss,99.6554,124.039,-34.408,2.00548,35,6.04253,1.7272
1,18ss,89.4136,123.917,-27.912,1.2082,35,2.62828,1.32091
1,18ss,99.6582,123.291,-27.1123,2.10793,28,4.02251,2.29373
1,18ss,95.5976,123.566,-25.6214,1.50798,40,2.43514,2.22615
1,18ss,97.3512,128.774,-24.2274,1.03445,36,3.68749,1.16506
1,18ss,97.2749,131.54,-20.5121,0.91319,85,3.02252,1.07729
1,18ss,94.238,125.586,-21.5852,1.19053,48,2.61514,1.48574
1,18ss,90.7507,120.056,-21.3766,1.3586,36,2.10442,1.49701
1,18ss,102.866,125.402,-35.0396,1.75711,42,6.14489,1.60413
1,18ss,109.907,124.238,-33.4749,4.12009,50,4.54001,2.90255
1,18ss,113.95,129.972,-33.8225,1.70031,43,7.55168,1.21475
1,18ss,104.71,123.79,-26.9311,1.82292,35,3.82097,1.66295
1,18ss,113.692,123.526,-26.2905,2.77498,23,5.41236,1.38685
1,18ss,106.343,128.917,-22.4918,1.03178,65,3.85503,1.84444
1,18ss,109.348,126.674,-25.6637,1.33736,44,3.67271,1.26551
1,18ss,103.495,131.509,-22.2823,1.04861,72,4.43703,2.50723
1,18ss,102.36,121.027,-20.5377,1.72698,28,3.95593,1.65213
1,18ss,110.222,129.91,-19.6521,0.90373,36,3.06156,1.32784
1,18ss,120.578,129.205,-32.894,2.92344,43,8.1906,1.40353
1,18ss,127.897,120.559,-31.7451,4.94788,43,8.36012,1.82569
1,18ss,128.121,127.822,-29.1718,2.88919,37,5.92575,1.66883
1,18ss,124.489,121.079,-27.4113,5.10197,37,9.65862,1.49413
1,18ss,117.866,119.999,-27.6565,8.12208,38,4.88526,2.24309
1,18ss,117.987,130.842,-24.9657,1.37173,49,4.38991,1.67502
1,18ss,123.712,127.887,-25.5206,2.05145,35,6.80986,2.56965
1,18ss,122.469,120.41,-22.2502,3.40276,26,8.93112,1.18982
1,18ss,135.916,127.887,-31.2368,5.27125,40,6.83886,3.83443
1,18ss,135.187,120.626,-30.793,3.94953,26,6.64748,1.37013
1,18ss,133.606,129.784,-28.8164,3.32669,34,5.03544,5.50599
1,18ss,140.679,122.446,-27.9373,4.84139,32,7.15718,2.48181
1,18ss,130.92,124.019,-27.2636,4.05298,30,6.60247,2.33614
1,18ss,135.273,130.822,-24.6094,4.34341,37,4.94222,4.12233
1,18ss,140.212,125.919,-25.7109,4.29626,48,5.36188,4.42415
1,18ss,136.446,125.544,-22.1094,4.33662,54,4.27814,5.06056
1,18ss,154.253,124.445,-29.8387,10.5018,55,6.93971,4.92441
1,18ss,147.087,127.451,-29.9709,4.8181,152,6.78139,3.25572
1,18ss,151.614,130.626,-28.7086,7.30493,74,6.27452,5.07052
1,18ss,143.713,128.699,-27.7928,4.89603,41,6.98714,3.94313
1,18ss,148.02,121.525,-28.8088,7.89164,32,8.21554,2.42207
1,18ss,153.031,126.755,-22.1698,4.39176,30,4.92438,3.18311
1,18ss,162.308,131.615,-33.0552,13.5915,105,7.24846,6.59396
1,18ss,168.274,121.45,-32.0066,14.2332,81,8.04444,6.59079
1,18ss,158.792,124.438,-31.8998,14.743,37,6.84258,4.50271
1,18ss,160.838,128.486,-29.2814,11.3115,71,6.51498,6.83979
1,18ss,164.657,129.961,-25.1704,5.45543,27,4.17805,2.44767
1,18ss,166.729,120.815,-23.3094,11.5339,112,10.0213,4.05862
1,18ss,157.655,126.25,-23.1628,5.05911,154,5.90597,3.32786
1,18ss,174.526,121.712,-35.6455,11.9356,46,7.3015,5.10378
1,18ss,177.382,128.044,-31.9753,4.04468,36,5.3344,1.55221
1,18ss,175.307,121.23,-28.5494,11.426,58,6.2991,4.33306
1,18ss,173.217,127.709,-26.8669,3.27248,31,3.08234,1.59383
1,18ss,184.609,126.57,-35.8977,2.2056,34,2.71373,0.950328
1,18ss,186.632,121.102,-32.9909,3.02566,27,2.55034,1.28142
1,18ss,86.527,144.91,-29.0502,1.26326,90,5.89787,2.05207
1,18ss,84.2767,140.782,-25.7087,1.03386,65,4.19363,2.25316
1,18ss,82.9258,145.805,-23.591,1.34029,68,2.91121,2.52396
1,18ss,89.5735,135.086,-19.246,0.835143,71,2.48534,2.4407
1,18ss,97.9128,143.709,-33.2516,1.36578,65,5.77082,2.09633
1,18ss,94.7349,144.044,-27.8844,1.36626,85,4.99129,3.3893
1,18ss,91.1842,132.808,-24.743,0.821342,91,2.52194,1.84223
1,18ss,100.062,133.8,-26.5055,0.944461,31,3.61211,2.0582
1,18ss,92.554,139.489,-24.7132,1.09734,102,3.52171,2.14428
1,18ss,99.1665,137.79,-20.4908,1.06015,59,4.53264,1.54135
1,18ss,95.9162,138.531,-16.358,0.930003,94,2.9527,1.57026
1,18ss,102.349,141.224,-16.3363,1.01047,76,2.82374,2.3192
1,18ss,103.673,133.561,-33.3431,1.45771,59,6.08637,1.37755
1,18ss,114.299,134.899,-30.8247,1.14736,42,4.65878,1.27376
1,18ss,104.81,135.928,-30.3272,1.33637,34,4.67933,2.74525
1,18ss,113.052,136.975,-26.0172,1.43944,51,5.20368,1.31361
1,18ss,107.447,139.987,-25.2361,1.79851,34,4.71539,1.47607
1,18ss,110.556,141.08,-19.7867,2.47316,49,5.92445,1.15489
