no,stage,x,y,z,TCF_mRNA_levels,sox2,tbxta
1,18ss,172.327,48.0299,233.471,9.02133,3.86995,14.0124
1,18ss,181.1,35.1369,235.307,11.165,2.59871,3.18447
1,18ss,192.223,49.0582,237.497,6.1875,2.84191,3.17279
1,18ss,191.491,47.7421,238.691,5.6705,2.59004,2.4023
1,18ss,189.928,47.4915,241.18,4.31915,2.61702,1.80851
1,18ss,103.945,66.6378,235.448,16.8407,7.3145,10.4372
1,18ss,111.164,52.2868,234.731,22.1555,10.5054,26.4341
1,18ss,103.822,53.9076,235.617,14.3058,7.95868,21.7438
1,18ss,98.1599,63.838,236.369,13.8102,9.39913,7.61392
1,18ss,99.5286,59.6865,236.985,9.47852,8.77166,9.07706
1,18ss,119.337,67.2976,237.461,26.8314,5.01775,20.0592
1,18ss,111.704,65.9659,238.765,21.5066,4.99772,13.1576
1,18ss,114.732,69.8365,239.596,27.0242,4.31627,16.0098
1,18ss,108.664,70.9428,239.818,18.4118,4.29265,9.56176
1,18ss,102.344,69.0762,239.566,19.5236,5.0818,6.27718
1,18ss,102.067,51.3566,240.407,14.7544,5.09238,10.6428
1,18ss,103.33,55.9195,241.925,13.8394,5.04819,10.5181
1,18ss,116.088,57.6744,242.55,19.1619,3.92232,9.17689
1,18ss,106.926,64.3055,242.722,16,4.47081,8.77411
1,18ss,110.064,51.6664,244.97,27.5659,4.03339,10.3286
1,18ss,109.067,58.8609,244.48,16.7174,4.02398,7.5908
1,18ss,97.5858,63.8747,244.788,14.3045,3.65045,4.26847
1,18ss,142.829,68.1216,236.583,21.9697,3.93939,15.2727
1,18ss,139.16,49.3872,236.583,18.4713,3.35632,7.90805
1,18ss,132.458,62.7336,236.509,35.3304,5.53819,13.5222
1,18ss,138.8,72.8405,236.055,29.0936,4.53306,11.8016
1,18ss,138.716,65.5737,236.257,27.2476,4.43488,12.4712
1,18ss,138.752,54.2626,237.892,20.2415,3.30248,7.67043
1,18ss,137.209,70.7118,238.52,24.0886,4.07669,10.6629
1,18ss,144.403,71.2705,238.68,30.3289,4.19091,10.943
1,18ss,135.322,69.6924,243.301,20.6812,3.7634,7.84632
1,18ss,143.233,53.6068,244.008,11.7018,2.15789,7.66667
1,18ss,132.704,66.4309,243.938,29.274,3.97165,9.89291
1,18ss,142.842,63.4981,244.889,21.6936,3.37888,9.18427
1,18ss,168.584,51.5793,233.607,18.6619,5.63955,23.7035
1,18ss,150.704,71.2048,232.771,21.0251,4.49765,10.8104
1,18ss,155.513,71.8933,234.188,16.1604,4.20535,12.4118
1,18ss,164.133,63.9682,236.472,12.2279,5.18963,16.9406
1,18ss,151.369,49.2371,236.989,13.4089,3.90418,10.0229
1,18ss,158.407,62.7743,237.406,15.3845,3.82646,9.62464
1,18ss,154.134,49.918,237.346,13.8106,4.04317,10.9329
1,18ss,155.556,58.8383,239.229,11.1245,4.08921,14.1971
1,18ss,148.468,66.4568,238.532,18.8587,3.35553,7.17148
1,18ss,150.743,56.0897,240.262,13.4231,5.5,19.3077
1,18ss,156.538,67.1962,239.662,12.9826,3.14274,6.24647
1,18ss,162.882,52.1889,240.365,15.088,5.15836,10.022
1,18ss,164.888,69.1792,240.902,12.996,5.05242,11.1048
1,18ss,152.652,50.8221,243.213,10.0129,5.68678,14.2514
1,18ss,149.064,59.8022,242.943,14.8715,2.79416,6.82044
1,18ss,183.802,69.8456,234.959,4.01255,3.12552,3.4728
1,18ss,193.334,48.9713,235.403,7.15152,2.06061,1.9697
1,18ss,173.682,64.6848,234.699,12.5478,6.99051,19.3462
1,18ss,185.299,61.0164,237.532,4.84211,2.82456,2.98246
1,18ss,173.924,54.4365,237.615,13.6916,4.074,13.4106
1,18ss,173.082,54.897,240.633,10.4764,3.83262,11.7983
1,18ss,170.058,66.9364,242.869,9.66033,5.71734,7.82185
