,X,Y,Z
15722,100.593,3.1076,23.8592
15783,82.0973,-9.64804,26.4125
15840,96.9679,-4.02027,23.6237
15900,134.825,13.6422,18.7404
15961,116.386,1.41416,20.8708
16020,111.781,-5.18278,22.6458
16081,137.066,5.62112,19.153
16140,122.45,-2.2617,20.7915
16200,86.6971,-22.6339,25.6056
16255,92.4155,-19.7348,23.3972
16311,117.975,-7.55093,20.7119
16372,135.265,-1.08551,19.4575
16433,112.469,-13.5735,20.8513
16491,147.912,-16.219,16.5338
16551,125.996,-28.4145,18.8521
16607,140.175,-22.0369,17.949
16668,118.952,-39.2349,20.4936
16729,112.606,5.1653,24.3611
16790,85.9727,-15.3321,26.8123
16848,128.57399999999998,3.19508,21.7115
16909,149.224,8.28749,18.8764
16969,124.088,-9.58082,22.1376
17015,102.621,-22.7842,24.1334
17074,137.945,-4.80237,19.9356
17135,132.17,-8.0976,21.6063
17196,119.795,-14.5464,21.7262
17257,144.34,-2.36482,18.7579
17318,110.112,-21.8103,22.9241
17343,149.245,-9.66851,18.2778
17403,146.957,-21.3922,19.3424
17464,155.20600000000005,-25.2548,17.1752
17472,130.005,-38.3082,21.0519
17529,108.249,32.126,26.7163
17590,76.46600000000002,14.0257,30.6229
17648,92.9936,21.3097,29.5671
17694,77.0233,5.2116,31.777
17750,81.1555,-1.52904,29.4639
17810,100.549,3.78114,27.2733
17870,131.378,19.7783,23.9428
17930,92.7849,-3.2669900000000003,29.3557
17991,118.484,7.22991,25.4254
18051,137.741,16.7278,22.5837
18107,97.2379,-26.1398,27.5207
18165,108.441,-29.836,25.9333
18225,142.964,-15.0436,20.2498
18285,154.023,-10.7923,20.2033
18346,159.205,-14.328,18.4401
18407,130.672,-32.7891,22.4993
18460,159.127,-22.7792,18.1744
18520,161.935,-28.1256,18.85
18545,156.989,-32.9103,18.7279
18605,170.174,-33.0004,17.7937
18664,81.7794,17.608,32.9892
18719,122.193,31.064,27.1927
18777,103.866,21.5764,29.0053
18838,109.034,19.8958,28.7509
18898,90.9185,9.23404,30.8046
18900,85.178,6.19886,32.1003
18957,101.141,-7.041930000000002,28.4596
18964,109.054,-4.78273,28.3159
19005,142.033,8.817689999999997,23.3449
19064,98.3097,-17.9019,29.3988
19105,114.276,-20.8061,27.2939
19166,150.329,-4.87169,22.0614
19226,124.264,-22.0171,25.1752
19282,133.726,-19.9412,24.4541
19339,117.598,-33.3839,26.3141
19398,163.195,-11.1215,21.2915
19459,110.671,-39.2572,26.9086
19518,153.072,-18.5396,21.2815
19579,138.983,-26.4119,23.2094
19640,145.965,-31.6798,22.3455
19668,166.78,-24.6206,19.4292
