gen,eval,o3d_fitness_mean,o3d_fitness_max,o3d_rmse_mean,o3d_rmse_min,o3d_mae_mean,o3d_mae_min
287,30,0.009,0.126,9000.252,2.229,9001.601,14.107
288,30,0.009,0.126,9000.252,2.229,9001.601,14.107
289,30,0.009,0.126,9000.252,2.229,9001.601,14.107
290,30,0.009,0.126,9000.252,2.229,9001.601,14.107
291,30,0.009,0.126,9000.252,2.229,9001.601,14.107
292,30,0.009,0.126,9000.252,2.229,9001.601,14.107
293,30,0.009,0.126,9000.252,2.229,9001.601,14.107
294,30,0.009,0.126,9000.252,2.229,9001.601,14.107
295,30,0.009,0.126,9000.252,2.229,9001.601,14.107
296,30,0.009,0.126,9000.252,2.229,9001.601,14.107
297,30,0.009,0.126,9000.252,2.229,9001.601,14.107
298,30,0.009,0.126,9000.252,2.229,9001.601,14.107
299,30,0.009,0.126,9000.252,2.229,9001.601,14.107
300,30,0.009,0.126,9000.252,2.229,9001.601,14.107
301,30,0.009,0.126,9000.252,2.229,9001.601,14.107
302,30,0.009,0.126,9000.252,2.229,9001.601,14.107
303,30,0.009,0.126,9000.252,2.229,9001.601,14.107
304,30,0.009,0.126,9000.252,2.229,9001.601,14.107
305,30,0.009,0.126,9000.252,2.229,9001.601,14.107
306,30,0.009,0.126,9000.252,2.229,9001.601,14.107
307,30,0.009,0.126,9000.252,2.229,9001.601,14.107
308,30,0.009,0.126,9000.252,2.229,9001.601,14.107
309,30,0.009,0.126,9000.252,2.229,9001.601,14.107
310,30,0.009,0.126,9000.252,2.229,9001.601,14.107
311,30,0.009,0.126,9000.252,2.229,9001.601,14.107
312,30,0.009,0.126,9000.252,2.229,9001.601,14.107
313,30,0.009,0.126,9000.252,2.229,9001.601,14.107
314,30,0.009,0.126,9000.252,2.229,9001.601,14.107
315,30,0.009,0.126,9000.252,2.229,9001.601,14.107
316,30,0.009,0.126,9000.252,2.229,9001.601,14.107
317,30,0.009,0.126,9000.252,2.229,9001.601,14.107
